NaN	Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 90 proof:
0.008667717299066553	Potatoes, boiled, cooked in skin, skin, with salt:
0.008675496688741721	Cereals, WHEATENA, dry:
0.008677852348993289	Whey, sweet, dried:Whey, sweet, dried:Whey, sweet, dried:Whey, sweet, dried:Whey, sweet, dried:Whey, sweet, dried:Whey, sweet, dried:Whey, sweet, dried:Whey, sweet, dried:Whey, sweet, dried:
0.008681714972619206	Millet, puffed a :Millet, puffed a :Millet, puffed a :Millet, puffed a :Millet, puffed a :Millet, puffed a :Millet, puffed a :Millet, puffed a :
0.008690164831822882	Spices, saffron:Spices, saffron:Spices, saffron:Spices, saffron:Spices, saffron:Spices, saffron:Spices, saffron:Spices, saffron:Spices, saffron:Spices, saffron:Spices, saffron:Spices, saffron:Spices, saffron:
0.00869406614785992	Potatoes, boiled, cooked in skin, skin, without salt:
0.008695652173913044	Babyfood, juice, apple - cherry:Babyfood, juice, apple - cherry:Babyfood, juice, apple - cherry:Babyfood, juice, apple - cherry:Babyfood, juice, apple - cherry:Babyfood, juice, apple - cherry:Babyfood, juice, apple - cherry:Babyfood, juice, apple - cherry:Babyfood, juice, apple - cherry:Babyfood, juice, apple - cherry:Babyfood, juice, apple - cherry:Babyfood, juice, apple - cherry:Babyfood, juice, apple - cherry:Babyfood, juice, apple - cherry:Babyfood, juice, apple - cherry:Babyfood, juice, apple - cherry:Babyfood, juice, apple - cherry:Babyfood, juice, apple - cherry:Babyfood, juice, apple - cherry:Babyfood, juice, apple - cherry:Babyfood, juice, apple - cherry:Babyfood, juice, apple - cherry:Babyfood, juice, apple - cherry:Babyfood, juice, apple - cherry:
0.0087070091423596	Sweet potato, canned, vacuum pack:Sweet potato, canned, vacuum pack:Sweet potato, canned, vacuum pack:Sweet potato, canned, vacuum pack:Sweet potato, canned, vacuum pack:Sweet potato, canned, vacuum pack:
0.008711853844343972	Cereals, QUAKER, Quick Oats with Iron, Dry:Cereals, QUAKER, Quick Oats, Dry:
0.008713942307692306	Agave, cooked (Southwest):Agave, cooked (Southwest):Agave, cooked (Southwest):Agave, cooked (Southwest):Agave, cooked (Southwest):Agave, cooked (Southwest):Agave, cooked (Southwest):Agave, cooked (Southwest):Agave, cooked (Southwest):Agave, cooked (Southwest):Agave, cooked (Southwest):Agave, cooked (Southwest):Agave, cooked (Southwest):Agave, cooked (Southwest):Agave, cooked (Southwest):Agave, cooked (Southwest):Agave, cooked (Southwest):Agave, cooked (Southwest):Agave, cooked (Southwest):Agave, cooked (Southwest):Agave, cooked (Southwest):Agave, cooked (Southwest):Agave, cooked (Southwest):Agave, cooked (Southwest):Agave, cooked (Southwest):Agave, cooked (Southwest):Agave, cooked (Southwest):Agave, cooked (Southwest):Agave, cooked (Southwest):Agave, cooked (Southwest):Agave, cooked (Southwest):
0.008737211560002985	Beef, bologna, reduced sodium:Beef, bologna, reduced sodium:Beef, bologna, reduced sodium:Beef, bologna, reduced sodium:
0.008748100741286432	Amaranth grain, cooked:Amaranth grain, cooked:Amaranth grain, cooked:Amaranth grain, cooked:Amaranth grain, cooked:Amaranth grain, cooked:Amaranth grain, cooked:
0.008754377188594297	Turkey, skin, from retail parts, from dark meat, raw:Turkey, skin, from retail parts, from dark meat, raw:
0.00875517708824829	Bacon, meatless:Bacon, meatless:
0.008765339343851741	Tofu yogurt:Tofu yogurt:Tofu yogurt:Tofu yogurt:Tofu yogurt:Tofu yogurt:
0.008767881864328564	Babyfood, cereal, with egg yolks, strained:Babyfood, cereal, with egg yolks, strained:Babyfood, cereal, with egg yolks, strained:Babyfood, cereal, with egg yolks, strained:Babyfood, cereal, with egg yolks, strained:Babyfood, cereal, with egg yolks, strained:Babyfood, cereal, with egg yolks, strained:Babyfood, cereal, with egg yolks, strained:Babyfood, cereal, with egg yolks, strained:Babyfood, cereal, with egg yolks, strained:
0.008771929824561403	Cabbage, common, cooked, boiled, drained, with salt:Cabbage, cooked, boiled, drained, without salt:Cabbage, common, cooked, boiled, drained, with salt:Cabbage, common, cooked, boiled, drained, with salt:Cabbage, cooked, boiled, drained, without salt:Cabbage, common, cooked, boiled, drained, with salt:Cabbage, common, cooked, boiled, drained, with salt:Cabbage, cooked, boiled, drained, without salt:Cabbage, cooked, boiled, drained, without salt:Cabbage, common, cooked, boiled, drained, with salt:Cabbage, cooked, boiled, drained, without salt:Cabbage, common, cooked, boiled, drained, with salt:
0.008776371308016877	Tomato products, canned, sauce, with onions:
0.008787346221441124	Beans, kidney, california red, mature seeds, raw:
0.008829064604346164	Spices, pepper, red or cayenne:Spices, pepper, red or cayenne:Spices, pepper, red or cayenne:Spices, pepper, red or cayenne:Spices, pepper, red or cayenne:Spices, pepper, red or cayenne:Spices, pepper, red or cayenne:Spices, pepper, red or cayenne:Spices, pepper, red or cayenne:Spices, pepper, red or cayenne:Spices, pepper, red or cayenne:Spices, pepper, red or cayenne:Spices, pepper, red or cayenne:
0.008833141948591115	Peppers, sweet, yellow, raw:Peppers, sweet, yellow, raw:
0.008834765998089779	Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid:Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid:Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid:Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid:Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid:Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid:Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid:Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid:Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid:Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid:Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid:
0.008848678567236415	Bread, pita, whole-wheat:
0.008849557522123894	Babyfood, fruit, pears and pineapple, strained:Babyfood, fruit, pears and pineapple, strained:Babyfood, fruit, pears and pineapple, strained:Babyfood, fruit, pears and pineapple, strained:Babyfood, fruit, pears and pineapple, strained:Babyfood, fruit, pears and pineapple, strained:Babyfood, fruit, pears and pineapple, strained:Babyfood, fruit, pears and pineapple, strained:Babyfood, fruit, pears and pineapple, strained:Babyfood, fruit, pears and pineapple, strained:Babyfood, fruit, pears and pineapple, strained:Babyfood, fruit, pears and pineapple, strained:Babyfood, fruit, pears and pineapple, strained:Babyfood, fruit, pears and pineapple, strained:Babyfood, fruit, pears and pineapple, strained:Babyfood, fruit, pears and pineapple, strained:Babyfood, fruit, pears and pineapple, strained:Babyfood, fruit, pears and pineapple, strained:Babyfood, fruit, pears and pineapple, strained:Babyfood, fruit, pears and pineapple, strained:Babyfood, fruit, pears and pineapple, strained:Babyfood, fruit, pears and pineapple, strained:Babyfood, fruit, pears and pineapple, strained:Babyfood, fruit, pears and pineapple, strained:Babyfood, fruit, pears and pineapple, strained:Babyfood, fruit, pears and pineapple, strained:Babyfood, fruit, pears and pineapple, strained:Babyfood, fruit, pears and pineapple, strained:Babyfood, fruit, pears and pineapple, strained:
0.008856859940587524	Beets, raw:Beets, raw:Beets, raw:Beets, raw:
0.008860860541230942	Child formula, MEAD JOHNSON, PORTAGEN, with iron, prepared from powder:Child formula, MEAD JOHNSON, PORTAGEN, with iron, prepared from powder:Child formula, MEAD JOHNSON, PORTAGEN, with iron, prepared from powder:Child formula, MEAD JOHNSON, PORTAGEN, with iron, prepared from powder:
0.008873114463176577	Babyfood, banana no tapioca, strained:Babyfood, banana no tapioca, strained:Babyfood, banana no tapioca, strained:Babyfood, banana no tapioca, strained:Babyfood, banana no tapioca, strained:Babyfood, banana no tapioca, strained:Babyfood, banana no tapioca, strained:Babyfood, banana no tapioca, strained:Babyfood, banana no tapioca, strained:Babyfood, banana no tapioca, strained:Babyfood, banana no tapioca, strained:Babyfood, banana no tapioca, strained:Babyfood, banana no tapioca, strained:Babyfood, banana no tapioca, strained:Babyfood, banana no tapioca, strained:Babyfood, banana no tapioca, strained:Babyfood, banana no tapioca, strained:Babyfood, banana no tapioca, strained:Babyfood, banana no tapioca, strained:Babyfood, banana no tapioca, strained:Babyfood, banana no tapioca, strained:Babyfood, banana no tapioca, strained:Babyfood, banana no tapioca, strained:Babyfood, banana no tapioca, strained:Babyfood, banana no tapioca, strained:Babyfood, banana no tapioca, strained:Babyfood, banana no tapioca, strained:Babyfood, banana no tapioca, strained:Babyfood, banana no tapioca, strained:Babyfood, banana no tapioca, strained:Babyfood, banana no tapioca, strained:Babyfood, banana no tapioca, strained:
0.008875739644970413	Agave, raw (Southwest):Agave, raw (Southwest):Agave, raw (Southwest):Agave, raw (Southwest):Agave, raw (Southwest):Agave, raw (Southwest):Agave, raw (Southwest):Agave, raw (Southwest):Agave, raw (Southwest):Agave, raw (Southwest):Agave, raw (Southwest):Agave, raw (Southwest):Agave, raw (Southwest):Agave, raw (Southwest):Agave, raw (Southwest):Agave, raw (Southwest):Agave, raw (Southwest):Agave, raw (Southwest):Agave, raw (Southwest):Agave, raw (Southwest):Agave, raw (Southwest):Agave, raw (Southwest):Agave, raw (Southwest):Agave, raw (Southwest):Agave, raw (Southwest):Agave, raw (Southwest):Agave, raw (Southwest):Agave, raw (Southwest):Agave, raw (Southwest):Agave, raw (Southwest):Agave, raw (Southwest):
0.008880994671403198	Babyfood, juice, apple, with calcium:Babyfood, juice, apple, with calcium:Babyfood, juice, apple, with calcium:Babyfood, juice, apple, with calcium:Babyfood, juice, apple, with calcium:Babyfood, juice, apple, with calcium:Babyfood, juice, apple, with calcium:Babyfood, juice, apple, with calcium:Babyfood, juice, apple, with calcium:Babyfood, juice, apple, with calcium:Babyfood, juice, apple, with calcium:Babyfood, juice, apple, with calcium:Babyfood, juice, apple, with calcium:Babyfood, juice, apple, with calcium:Babyfood, juice, apple, with calcium:Babyfood, juice, apple, with calcium:Babyfood, juice, apple, with calcium:Babyfood, juice, apple, with calcium:Babyfood, juice, apple, with calcium:Babyfood, juice, apple, with calcium:Babyfood, juice, apple, with calcium:Babyfood, juice, apple, with calcium:Babyfood, juice, apple, with calcium:Babyfood, juice, apple, with calcium:Babyfood, juice, apple, with calcium:Babyfood, juice, apple, with calcium:Babyfood, juice, apple, with calcium:
0.008883785580467759	Yogurt, vanilla, non-fat:Yogurt, vanilla, non-fat:Yogurt, vanilla, non-fat:Yogurt, vanilla, non-fat:Yogurt, vanilla, non-fat:Yogurt, vanilla, non-fat:Yogurt, vanilla, non-fat:Yogurt, vanilla, non-fat:Yogurt, vanilla, non-fat:Yogurt, vanilla, non-fat:Yogurt, vanilla, non-fat:Yogurt, vanilla, non-fat:
0.008885209713024282	Corn, sweet, white, raw:
0.008894536213468869	Vegetable smoothie, NAKED JUICE, KALE BLAZER:Vegetable smoothie, NAKED JUICE, KALE BLAZER:Vegetable smoothie, NAKED JUICE, KALE BLAZER:Vegetable smoothie, NAKED JUICE, KALE BLAZER:Vegetable smoothie, NAKED JUICE, KALE BLAZER:Vegetable smoothie, NAKED JUICE, KALE BLAZER:Vegetable smoothie, NAKED JUICE, KALE BLAZER:Vegetable smoothie, NAKED JUICE, KALE BLAZER:Vegetable smoothie, NAKED JUICE, KALE BLAZER:Vegetable smoothie, NAKED JUICE, KALE BLAZER:Vegetable smoothie, NAKED JUICE, KALE BLAZER:Vegetable smoothie, NAKED JUICE, KALE BLAZER:Vegetable smoothie, NAKED JUICE, KALE BLAZER:Vegetable smoothie, NAKED JUICE, KALE BLAZER:Vegetable smoothie, NAKED JUICE, KALE BLAZER:Vegetable smoothie, NAKED JUICE, KALE BLAZER:Vegetable smoothie, NAKED JUICE, KALE BLAZER:Vegetable smoothie, NAKED JUICE, KALE BLAZER:Vegetable smoothie, NAKED JUICE, KALE BLAZER:Vegetable smoothie, NAKED JUICE, KALE BLAZER:Vegetable smoothie, NAKED JUICE, KALE BLAZER:Vegetable smoothie, NAKED JUICE, KALE BLAZER:Vegetable smoothie, NAKED JUICE, KALE BLAZER:
0.008900190718372537	Pears, raw:Pears, raw:
0.008910891089108912	Beans, liquid from stewed kidney beans:Beans, liquid from stewed kidney beans:Beans, liquid from stewed kidney beans:
0.00891551355608055	Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D:Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D:Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D:Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D:Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D:Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D:Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D:Milk, chocolate, fluid, commercial, whole, with added vitamin A and vitamin D:
0.008917713822456427	Babyfood, cereal, with eggs, strained:Babyfood, cereal, with eggs, strained:Babyfood, cereal, with eggs, strained:Babyfood, cereal, with eggs, strained:Babyfood, cereal, with eggs, strained:Babyfood, cereal, with eggs, strained:Babyfood, cereal, with eggs, strained:Babyfood, cereal, with eggs, strained:Babyfood, cereal, with eggs, strained:Babyfood, cereal, with eggs, strained:
0.008918551329978966	Frankfurter, low sodium:Frankfurter, low sodium:Frankfurter, low sodium:Frankfurter, low sodium:
0.00894282976684765	Beets, cooked, boiled. drained, with salt:
0.008951192695635548	Wheat, sprouted:Wheat, sprouted:Wheat, sprouted:Wheat, sprouted:
0.008961303462321792	Potatoes, au gratin, home-prepared from recipe using butter a :Potatoes, au gratin, home-prepared from recipe using margarine a :Potatoes, au gratin, home-prepared from recipe using margarine a :Potatoes, au gratin, home-prepared from recipe using butter a :Potatoes, au gratin, home-prepared from recipe using butter a :Potatoes, au gratin, home-prepared from recipe using butter a :Potatoes, au gratin, home-prepared from recipe using margarine a :
0.008984725965858042	Ruby Red grapefruit juice blend (grapefruit, grape, apple), OCEAN SPRAY, bottled, with added vitamin C:Ruby Red grapefruit juice blend (grapefruit, grape, apple), OCEAN SPRAY, bottled, with added vitamin C:
0.008996272972625625	Sour cream, reduced fat:Sour cream, reduced fat:Sour cream, reduced fat:Sour cream, reduced fat:Sour cream, reduced fat:Sour cream, reduced fat:Sour cream, reduced fat:
0.009008076206253882	Babyfood, Baby MUM MUM Rice Biscuits:Babyfood, Baby MUM MUM Rice Biscuits:Babyfood, Baby MUM MUM Rice Biscuits:Babyfood, Baby MUM MUM Rice Biscuits:Babyfood, Baby MUM MUM Rice Biscuits:Babyfood, Baby MUM MUM Rice Biscuits:Babyfood, Baby MUM MUM Rice Biscuits:Babyfood, Baby MUM MUM Rice Biscuits:Babyfood, Baby MUM MUM Rice Biscuits:Babyfood, Baby MUM MUM Rice Biscuits:Babyfood, Baby MUM MUM Rice Biscuits:Babyfood, Baby MUM MUM Rice Biscuits:Babyfood, Baby MUM MUM Rice Biscuits:Babyfood, Baby MUM MUM Rice Biscuits:Babyfood, Baby MUM MUM Rice Biscuits:Babyfood, Baby MUM MUM Rice Biscuits:Babyfood, Baby MUM MUM Rice Biscuits:Babyfood, Baby MUM MUM Rice Biscuits:Babyfood, Baby MUM MUM Rice Biscuits:Babyfood, Baby MUM MUM Rice Biscuits:Babyfood, Baby MUM MUM Rice Biscuits:Babyfood, Baby MUM MUM Rice Biscuits:Babyfood, Baby MUM MUM Rice Biscuits:Babyfood, Baby MUM MUM Rice Biscuits:Babyfood, Baby MUM MUM Rice Biscuits:Babyfood, Baby MUM MUM Rice Biscuits:Babyfood, Baby MUM MUM Rice Biscuits:
0.009009009009009009	Babyfood, dinner, vegetables and lamb, strained:Babyfood, dinner, vegetables and lamb, strained:Babyfood, dinner, vegetables and lamb, strained:Babyfood, dinner, vegetables and lamb, strained:Babyfood, dinner, vegetables and lamb, strained:Babyfood, dinner, vegetables and lamb, strained:Babyfood, dinner, vegetables and lamb, strained:Babyfood, dinner, vegetables and lamb, strained:Babyfood, dinner, vegetables and lamb, strained:Babyfood, dinner, vegetables and lamb, strained:Babyfood, dinner, vegetables and lamb, strained:Babyfood, dinner, vegetables and lamb, strained:
0.009013960646366934	Cereals, MALT-O-MEAL, chocolate, dry:Cereals, MALT-O-MEAL, chocolate, dry:
0.009014423076923076	USDA Commodity pears, canned, light syrup, drained:USDA Commodity pears, canned, light syrup, drained:USDA Commodity pears, canned, light syrup, drained:USDA Commodity pears, canned, light syrup, drained:USDA Commodity pears, canned, light syrup, drained:USDA Commodity pears, canned, light syrup, drained:
0.009015905418048822	Bagels, egg:Bagels, egg:Bagels, egg:
0.009027598658756771	Bagels, plain, unenriched, with calcium propionate (includes onion, poppy, sesame):Bagels, plain, enriched, without calcium propionate (includes onion, poppy, sesame):Bagels, plain, unenriched, without calcium propionate(includes onion, poppy, sesame):
0.00903906165931346	Beets, cooked, boiled, drained:Beets, cooked, boiled, drained:Beets, cooked, boiled, drained:Beets, cooked, boiled, drained:Beets, cooked, boiled, drained:
0.009043989967200463	Milk, indian buffalo, fluid:Milk, indian buffalo, fluid:Milk, indian buffalo, fluid:Milk, indian buffalo, fluid:Milk, indian buffalo, fluid:
0.009045680687471733	Sweet potato, canned, syrup pack, solids and liquids:Sweet potato, canned, syrup pack, solids and liquids:Sweet potato, canned, syrup pack, solids and liquids:Sweet potato, canned, syrup pack, solids and liquids:Sweet potato, canned, syrup pack, solids and liquids:Sweet potato, canned, syrup pack, solids and liquids:
0.009055627425614488	Vegetables, mixed (corn, lima beans, peas, green beans, carrots) canned, no salt added:Vegetables, mixed (corn, lima beans, peas, green beans, carrots) canned, no salt added:Vegetables, mixed (corn, lima beans, peas, green beans, carrots) canned, no salt added:Vegetables, mixed (corn, lima beans, peas, green beans, carrots) canned, no salt added:Vegetables, mixed (corn, lima beans, peas, green beans, carrots) canned, no salt added:Vegetables, mixed (corn, lima beans, peas, green beans, carrots) canned, no salt added:Vegetables, mixed (corn, lima beans, peas, green beans, carrots) canned, no salt added:Vegetables, mixed (corn, lima beans, peas, green beans, carrots) canned, no salt added:Vegetables, mixed (corn, lima beans, peas, green beans, carrots) canned, no salt added:Vegetables, mixed (corn, lima beans, peas, green beans, carrots) canned, no salt added:Vegetables, mixed (corn, lima beans, peas, green beans, carrots) canned, no salt added:Vegetables, mixed (corn, lima beans, peas, green beans, carrots) canned, no salt added:
0.009060261272650652	Sauce, barbecue, SWEET BABY RAY'S, original:Sauce, barbecue, SWEET BABY RAY'S, original:Sauce, barbecue, SWEET BABY RAY'S, original:Sauce, barbecue, SWEET BABY RAY'S, original:Sauce, barbecue, SWEET BABY RAY'S, original:Sauce, barbecue, SWEET BABY RAY'S, original:
0.00906555090655509	Babyfood, vegetables, beets, strained:Babyfood, vegetables, beets, strained:Babyfood, vegetables, beets, strained:Babyfood, vegetables, beets, strained:Babyfood, vegetables, beets, strained:Babyfood, vegetables, beets, strained:
0.009082652134423252	Pumpkin, raw:Pumpkin, raw:Pumpkin, raw:Pumpkin, raw:
0.009104704097116842	Tamarinds, raw:Tamarinds, raw:
0.009123467062185725	Wheat, hard red winter:Wheat, hard red winter:Wheat, hard red winter:Wheat, hard red winter:Wheat, hard red winter:
0.00912715065044062	Cereals ready-to-eat, MALT-O-MEAL, Frosted Flakes:Cereals ready-to-eat, MALT-O-MEAL, Frosted Flakes:
0.009146927632084904	Turkey, young hen, skin only, cooked, roasted:Turkey, young hen, skin only, cooked, roasted:
0.009162303664921465	Babyfood, vegetables, mix vegetables junior:Babyfood, vegetables, mix vegetables junior:Babyfood, vegetables, mix vegetables junior:Babyfood, vegetables, mix vegetables junior:Babyfood, vegetables, mix vegetables junior:Babyfood, vegetables, mix vegetables junior:Babyfood, vegetables, mix vegetables junior:
0.009166801813281437	T.G.I. FRIDAY'S, FRIDAY'S Shrimp, breaded:T.G.I. FRIDAY'S, FRIDAY'S Shrimp, breaded:T.G.I. FRIDAY'S, FRIDAY'S Shrimp, breaded:T.G.I. FRIDAY'S, FRIDAY'S Shrimp, breaded:T.G.I. FRIDAY'S, FRIDAY'S Shrimp, breaded:T.G.I. FRIDAY'S, FRIDAY'S Shrimp, breaded:T.G.I. FRIDAY'S, FRIDAY'S Shrimp, breaded:T.G.I. FRIDAY'S, FRIDAY'S Shrimp, breaded:
0.009168704156479218	USDA Commodity peaches, canned, light syrup, drained:USDA Commodity peaches, canned, light syrup, drained:USDA Commodity peaches, canned, light syrup, drained:USDA Commodity peaches, canned, light syrup, drained:USDA Commodity peaches, canned, light syrup, drained:
0.00917099070833836	Cardoon, cooked, boiled, drained, with salt:
0.009175458946593412	Wheat flour, whole-grain:Wheat flour, whole-grain:Wheat flour, whole-grain:Wheat flour, whole-grain:Wheat flour, whole-grain:Wheat flour, whole-grain:Wheat flour, whole-grain:
0.00920245398773006	Alcoholic beverage, liqueur, coffee, 63 proof:Alcoholic beverage, liqueur, coffee, 63 proof:Alcoholic beverage, liqueur, coffee, 63 proof:Alcoholic beverage, liqueur, coffee, 63 proof:Alcoholic beverage, liqueur, coffee, 63 proof:Alcoholic beverage, liqueur, coffee, 63 proof:Alcoholic beverage, liqueur, coffee, 63 proof:Alcoholic beverage, liqueur, coffee, 63 proof:Alcoholic beverage, liqueur, coffee, 63 proof:Alcoholic beverage, liqueur, coffee, 63 proof:Alcoholic beverage, liqueur, coffee, 63 proof:Alcoholic beverage, liqueur, coffee, 63 proof:Alcoholic beverage, liqueur, coffee, 63 proof:Alcoholic beverage, liqueur, coffee, 63 proof:Alcoholic beverage, liqueur, coffee, 63 proof:Alcoholic beverage, liqueur, coffee, 63 proof:Alcoholic beverage, liqueur, coffee, 63 proof:
0.009218612818261631	Seaweed, kelp, raw:Seaweed, kelp, raw:Seaweed, kelp, raw:Seaweed, kelp, raw:
0.009234280971155842	Cereals ready-to-eat, MALT-O-MEAL, GOLDEN PUFFS:Cereals ready-to-eat, MALT-O-MEAL, GOLDEN PUFFS:
0.009249743062692705	Rolls, pumpernickel:Rolls, pumpernickel:Rolls, pumpernickel:Rolls, pumpernickel:
0.009259259259259259	Babyfood, juice, apple and peach:Babyfood, juice, apple and peach:Babyfood, juice, apple and peach:Babyfood, juice, apple and peach:Babyfood, juice, apple and peach:Babyfood, juice, apple and peach:Babyfood, juice, apple and peach:Babyfood, juice, apple and peach:Babyfood, juice, apple and peach:Babyfood, juice, apple and peach:Babyfood, juice, apple and peach:Babyfood, juice, apple and peach:Babyfood, juice, apple and peach:Babyfood, juice, apple and peach:Babyfood, juice, apple and peach:Babyfood, juice, apple and peach:Babyfood, juice, apple and peach:Babyfood, juice, apple and peach:Babyfood, juice, apple and peach:Babyfood, juice, apple and peach:Babyfood, juice, apple and peach:Babyfood, juice, apple and peach:Babyfood, juice, apple and peach:Babyfood, juice, apple and peach:Babyfood, juice, apple and peach:Babyfood, juice, apple and peach:Babyfood, juice, apple and peach:
0.009290540540540543	Radishes, hawaiian style, pickled:Radishes, hawaiian style, pickled:Radishes, hawaiian style, pickled:
0.009301106962730071	Vegetables, mixed, canned, solids and liquids a :Vegetables, mixed, canned, solids and liquids a :Vegetables, mixed, canned, solids and liquids a :Vegetables, mixed, canned, solids and liquids a :Vegetables, mixed, canned, solids and liquids a :Vegetables, mixed, canned, solids and liquids a :Vegetables, mixed, canned, solids and liquids a :Vegetables, mixed, canned, solids and liquids a :Vegetables, mixed, canned, solids and liquids a :
0.009305210918114145	Broccoli, chinese, raw:
0.009309967141292444	Salsify, cooked, boiled, drained, without salt:Salsify, cooked, boiled, drained, without salt:Salsify, cooked, boiled, drained, without salt:Salsify, cooked, boiled, drained, without salt:Salsify, cooked, boiled, drained, without salt:Salsify, cooked, boiled, drained, with salt:Salsify, cooked, boiled, drained, without salt:Salsify, cooked, boiled, drained, with salt:Salsify, cooked, boiled, drained, with salt:Salsify, cooked, boiled, drained, without salt:Salsify, cooked, boiled, drained, with salt:
0.009314359637774904	Prairie Turnips, raw (Northern Plains Indians):Prairie Turnips, raw (Northern Plains Indians):Prairie Turnips, raw (Northern Plains Indians):Prairie Turnips, raw (Northern Plains Indians):Prairie Turnips, raw (Northern Plains Indians):Prairie Turnips, raw (Northern Plains Indians):Prairie Turnips, raw (Northern Plains Indians):Prairie Turnips, raw (Northern Plains Indians):Prairie Turnips, raw (Northern Plains Indians):Prairie Turnips, raw (Northern Plains Indians):Prairie Turnips, raw (Northern Plains Indians):Prairie Turnips, raw (Northern Plains Indians):Prairie Turnips, raw (Northern Plains Indians):Prairie Turnips, raw (Northern Plains Indians):Prairie Turnips, raw (Northern Plains Indians):Prairie Turnips, raw (Northern Plains Indians):
0.009316770186335402	Vegetables, mixed, frozen, cooked, boiled, drained, with salt a :Vegetables, mixed, frozen, cooked, boiled, drained, without salt a :Vegetables, mixed, frozen, cooked, boiled, drained, without salt a :Vegetables, mixed, frozen, cooked, boiled, drained, without salt a :Vegetables, mixed, frozen, cooked, boiled, drained, without salt a :Vegetables, mixed, frozen, cooked, boiled, drained, without salt a :Vegetables, mixed, frozen, cooked, boiled, drained, with salt a :Vegetables, mixed, frozen, cooked, boiled, drained, without salt a :Vegetables, mixed, frozen, cooked, boiled, drained, with salt a :Vegetables, mixed, frozen, cooked, boiled, drained, with salt a :Vegetables, mixed, frozen, cooked, boiled, drained, without salt a :Vegetables, mixed, frozen, cooked, boiled, drained, without salt a :Vegetables, mixed, frozen, cooked, boiled, drained, without salt a :Vegetables, mixed, frozen, cooked, boiled, drained, without salt a :Vegetables, mixed, frozen, cooked, boiled, drained, with salt a :Vegetables, mixed, frozen, cooked, boiled, drained, without salt a :Vegetables, mixed, frozen, cooked, boiled, drained, without salt a :Vegetables, mixed, frozen, cooked, boiled, drained, with salt a :Vegetables, mixed, frozen, cooked, boiled, drained, with salt a :Vegetables, mixed, frozen, cooked, boiled, drained, without salt a :Vegetables, mixed, frozen, cooked, boiled, drained, without salt a :Vegetables, mixed, frozen, cooked, boiled, drained, without salt a :Vegetables, mixed, frozen, cooked, boiled, drained, without salt a :Vegetables, mixed, frozen, cooked, boiled, drained, with salt a :Vegetables, mixed, frozen, cooked, boiled, drained, with salt a :Vegetables, mixed, frozen, cooked, boiled, drained, without salt a :Vegetables, mixed, frozen, cooked, boiled, drained, with salt a :Vegetables, mixed, frozen, cooked, boiled, drained, without salt a :Vegetables, mixed, frozen, cooked, boiled, drained, with salt a :Vegetables, mixed, frozen, cooked, boiled, drained, with salt a :Vegetables, mixed, frozen, cooked, boiled, drained, with salt a :Vegetables, mixed, frozen, cooked, boiled, drained, with salt a :Vegetables, mixed, frozen, cooked, boiled, drained, without salt a :Vegetables, mixed, frozen, cooked, boiled, drained, with salt a :Vegetables, mixed, frozen, cooked, boiled, drained, with salt a :Vegetables, mixed, frozen, cooked, boiled, drained, with salt a :Vegetables, mixed, frozen, cooked, boiled, drained, with salt a :Vegetables, mixed, frozen, cooked, boiled, drained, without salt a :Vegetables, mixed, frozen, cooked, boiled, drained, with salt a :Vegetables, mixed, frozen, cooked, boiled, drained, with salt a :Vegetables, mixed, frozen, cooked, boiled, drained, without salt a :Vegetables, mixed, frozen, cooked, boiled, drained, with salt a :Vegetables, mixed, frozen, cooked, boiled, drained, with salt a :Vegetables, mixed, frozen, cooked, boiled, drained, without salt a :Vegetables, mixed, frozen, cooked, boiled, drained, with salt a :Vegetables, mixed, frozen, cooked, boiled, drained, with salt a :Vegetables, mixed, frozen, cooked, boiled, drained, without salt a :Vegetables, mixed, frozen, cooked, boiled, drained, without salt a :Vegetables, mixed, frozen, cooked, boiled, drained, with salt a :Vegetables, mixed, frozen, cooked, boiled, drained, with salt a :Vegetables, mixed, frozen, cooked, boiled, drained, without salt a :Vegetables, mixed, frozen, cooked, boiled, drained, without salt a :Vegetables, mixed, frozen, cooked, boiled, drained, without salt a :
